0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC  as on November 15, 2012","AUC  as on November 15, 2012","AUC  as on November 15, 2012","AUC  as on November 15, 2012","AUC  as on November 15, 2012","AUC  as on November 15, 2012","Net  Investment  November 1-15,2012","Net  Investment  November 1-15,2012","Net  Investment  November 1-15,2012","Net  Investment  November 1-15,2012","Net  Investment  November 1-15,2012","Net  Investment  November 1-15,2012","Net  Investment  November 16-30,2012","Net  Investment  November 16-30,2012","Net  Investment  November 16-30,2012","Net  Investment  November 16-30,2012","Net  Investment  November 16-30,2012","Net  Investment  November 16-30,2012","AUC  as on November 30, 2012","AUC  as on November 30, 2012","AUC  as on November 30, 2012","AUC  as on November 30, 2012","AUC  as on November 30, 2012","AUC  as on November 30, 2012"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,54987,0,54987,10005,0,10005,262,0,262,48,0,48,661,0,661,121,0,121,56967,0,56967,10448,0,10448
2,Total Financial Services,319728,,319728,58176,0,58176,818,584,1402,149,106,255,1907,167,2074,350,31,380,340282,36446,376728,62407,6684,69091
2a,Banks,182462,5,182467,33200,1,33201,468,0,468,85,0,85,1078,0,1078,198,0,198,193472,5,193477,35482,1,35483
2b,Other Financial Services1,137266,36385,173651,24976,6620,31596,350,584,934,64,106,170,829,167,996,152,31,183,146810,36441,183251,26925,6683,33608
3,Capital Goods,68265,562,68827,12421,102,12523,310,0,310,56,0,56,103,0,103,19,0,19,69299,562,69861,12709,103,12812
4,Chemicals & Petrochemicals,8326,5,8331,1515,1,1516,-6,-5,-11,-1,-1,-2,-77,-12,-89,-14,-2,-16,8480,4,8484,1555,1,1556
5,Coal,12832,0,12832,2335,0,2335,34,0,34,6,0,6,141,0,141,26,0,26,13586,0,13586,2492,0,2492
6,Commercial Services & Supplies,5906,0,5906,1075,0,1075,15,0,15,3,0,3,29,0,29,5,0,5,6023,0,6023,1105,0,1105
7,Construction Materials,27703,0,27703,5041,0,5041,128,0,128,23,0,23,-76,-60,-136,-14,-11,-25,27810,0,27810,5100,0,5100
8,Consumer Durables,9475,0,9475,1724,0,1724,11,0,11,2,0,2,70,0,70,13,0,13,10221,0,10221,1875,0,1875
9,Diversified2,2382,0,2382,433,0,433,-5,0,-5,-1,0,-1,-113,0,-113,-21,0,-21,2495,0,2495,458,0,458
10,Diversified Consumer Services,683,0,683,124,0,124,1,0,1,0,0,0,-20,0,-20,-4,0,-4,679,0,679,125,0,125
11,"Food, Beverages & Tobacco",70650,76,70727,12855,14,12869,125,0,125,23,0,23,788,0,788,145,0,145,76108,76,76185,13958,14,13972
12,Forest Materials,447,0,447,81,0,81,1,0,1,0,0,0,5,0,5,1,0,1,471,0,471,86,0,86
13,General Industrials,6306,0,6306,1147,0,1147,-14,0,-14,-3,0,-3,-59,0,-59,-11,0,-11,6184,0,6184,1134,0,1134
14,Hardware Technology & Equipment,240,0,240,44,0,44,-2,0,-2,0,0,0,0,0,0,0,0,0,240,0,240,44,0,44
15,Healthcare Equipment & Supplies,1124,0,1124,204,0,204,8,0,8,1,0,1,-41,0,-41,-7,0,-7,1008,0,1008,185,0,185
16,Healthcare Services,4332,125,4457,788,23,811,12,0,12,2,0,2,-120,0,-120,-22,0,-22,4496,125,4621,825,23,848
17,"Hotels, Restaurants & Tourism",4863,0,4863,885,0,885,13,0,13,2,0,2,56,0,56,10,0,10,4694,0,4694,861,0,861
18,Household & Personal Products,45623,0,45623,8301,0,8301,-86,0,-86,-16,0,-16,240,0,240,44,0,44,46692,0,46692,8563,0,8563
19,Media,13347,190,13537,2428,35,2463,145,190,336,26,35,61,48,0,48,9,0,9,13612,190,13802,2496,35,2531
20,Metals & Mining,36016,280,36296,6553,51,6604,163,-124,40,30,-23,7,-205,-161,-366,-38,-30,-67,37683,250,37933,6911,46,6957
21,Oil & Gas,72078,7487,79564,13115,1362,14477,-521,411,-110,-95,75,-20,202,17,219,37,3,40,72979,7385,80364,13384,1354,14739
22,Pharmaceuticals & Biotechnology,59089,82,59171,10751,15,10766,810,0,810,147,0,147,246,220,466,45,40,86,61580,302,61883,11294,55,11349
23,Realty,16856,255,17111,3067,46,3113,62,0,62,11,0,11,86,0,86,16,0,16,17271,255,17526,3167,47,3214
24,Retailing,2753,0,2753,501,0,501,6,0,6,1,0,1,14,0,14,3,0,3,2980,0,2980,546,0,546
25,Software & Services,122737,0,122737,22332,0,22332,453,0,453,83,0,83,603,0,603,111,0,111,128009,0,128009,23476,0,23476
26,Telecom Services,24847,1400,26247,4521,255,4776,56,0,56,10,0,10,571,0,571,105,0,105,28364,1400,29764,5202,257,5459
27,Telecommunications Equipment,141,0,141,26,0,26,4,0,4,1,0,1,6,0,6,1,0,1,149,0,149,27,0,27
28,"Textiles, Apparels & Accessories",16597,0,16597,3020,0,3020,43,0,43,8,0,8,61,0,61,11,0,11,17327,0,17327,3178,0,3178
29,Transportation,10265,0,10265,1868,0,1868,37,0,37,7,0,7,109,0,109,20,0,20,10225,0,10225,1875,0,1875
29 a,Airlines,237,0,237,43,0,43,2,0,2,0,0,0,4,0,4,1,0,1,320,0,320,59,0,59
29 b,Logistics,735,0,735,134,0,134,-1,0,-1,0,0,0,87,0,87,16,0,16,822,0,822,151,0,151
29 c,Marine Port &  Services,3652,0,3652,664,0,664,11,0,11,2,0,2,13,0,13,2,0,2,3615,0,3615,663,0,663
29 d,Roads & Highways,1130,0,1130,206,0,206,29,0,29,5,0,5,24,0,24,4,0,4,1203,0,1203,221,0,221
29 e,Shipping,1016,0,1016,185,0,185,2,0,2,0,0,0,7,0,7,1,0,1,1014,0,1014,186,0,186
29 f,Surface Transportation,33,0,33,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,7,0,7
29 g,Transport Related  Services,3462,0,3462,630,0,630,-5,0,-5,-1,0,-1,-26,0,-26,-5,0,-5,3215,0,3215,590,0,590
30,Utilities3,37175,613,37788,6764,111,6876,141,50,191,26,9,35,199,5,204,36,1,37,37765,618,38383,6926,113,7039
31,Sovereign,0,72163,72163,0,13130,13130,0,785,785,0,143,143,0,-78,-78,0,-14,-14,0,72460,72460,0,13289,13289
32,Others4,15551,51792,67344,2830,9424,12253,404,200,604,74,36,110,710,-1896,-1186,130,-348,-218,15709,50150,65860,2881,9197,12078
,Grand Total,1071324,171420,1242744,194932,31190,226122,3434,2090,5524,625,380,1005,6142,-1798,4344,1126,-330,797,1119389,170223,1289611,205293,31218,236511
"1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,
"1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,
"1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,
"1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,
"1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","1 ""Other Financial  Services"" includes Financial Sector other  than ""Bank"". Sub-category under ""Other Financial Services"" are as follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,,,,,,
